design,reps,bias,sd,rmse,mean_se,coverage,bias_elim_coverage,Eb2
rep_mean_S10,2000,-0.05749358590969548,0.03608778972969421,0.06787628322209731,0.04252846997031041,0.7505,0.977,0.44185359711367744
rep_mean_S10_unadjusted,2000,-0.05749358590969548,0.03608778972969421,0.06787628322209731,0.034326733377545465,0.5925,0.9355,0.44185359711367744
rep_median_S10,2000,-0.057663680666771355,0.036583553771971034,0.06828460512020834,0.03916904010129671,0.6815,0.961,0.44185359711367744
rep_prediction_S1,2000,-0.057378545405466955,0.04431994682579974,0.07249533109549626,0.03423901985217505,0.5765,0.8595,0.44422634967432784
rep_prediction_S10,2000,-0.024748493546258955,0.03604362626980923,0.043714772743199355,0.03323246647388616,0.8495,0.9265,0.18959781007601315
rep_prediction_S2,2000,-0.040496484486516396,0.03956289635623376,0.0566074678154456,0.033751393862735415,0.7295,0.896,0.3031949068644364
rep_prediction_S5,2000,-0.02912964504180498,0.036678242188408545,0.046831154412080106,0.033394649521355714,0.8195,0.923,0.21791665828479556
