sim_id,err,design,theta_hat,Eb2,se_hat_add,se_hat_unadj,se_hat_cgm,se_hat_iid,denom,EnV2,Ea2,B_ab,B_bb,B_bV,B_aV,B_eps,leak,leak_row,leak_col,leak_own,coupling
0,-0.12490790281739272,rep_mean_S10,0.8750920971826073,0.5240787191097938,0.04915135763323199,0.038543010269486505,,,,,,,,,,,,,,,
0,-0.12259368325660747,rep_median_S10,0.8774063167433925,0.5240787191097938,0.04129716106928637,0.03952261042563869,,,,,,,,,,,,,,,
0,-0.12125039392177539,rep_prediction_S1,0.8787496060782246,0.5094239249684533,0.040757767574141755,,0.03799105484670579,0.014762404088790287,1.3194335336635241,0.9890173306780935,0.45723880763477154,0.3914766479700479,-0.5094239249684533,0.08950386099151139,-0.08021061670224061,-0.05132780300116785,0.08952208156873324,0.05664467669688893,0.032877404871844325,-1.822057722186514e-05,0.36062192539250204
0,-0.12118189461046447,rep_prediction_S2,0.8788181053895355,0.3944982623966582,0.0390401510450324,,0.036277960183543866,0.014425456758494621,1.3222893505345443,0.9890173306780935,0.3156957900358955,0.29822979821177975,-0.3944982623966582,0.03061312127010366,-0.03229334058078467,-0.06228884522545744,0.03055802799188652,-0.0004695273599714389,0.031027555351857958,5.509327821713811e-05,0.28830153856200486
0,-0.0751953191343323,rep_prediction_S5,0.9248046808656677,0.27635461802829947,0.041262924356005766,,0.03852744599217975,0.014775592443429643,1.217765664297469,0.9890173306780935,0.21738450476029297,0.20960249069727788,-0.27635461802829947,0.02380314220446199,-0.02135439957313416,-0.027266893057986612,0.025672705037099793,0.004850887391167692,0.0208218176459321,-0.0018695628326378013,0.2697047074002727
0,-0.08008998095357034,rep_prediction_S10,0.9199100190464297,0.22016758557715715,0.039971561005200655,,0.03711865980184198,0.014831874151929908,1.1763998228161912,0.9890173306780935,0.1853133402602109,0.172739747532868,-0.22016758557715715,0.016392546719529687,-0.020312612656857652,-0.04286993542151525,0.01725682602254244,0.01590521630347335,0.0013516097190690952,-0.0008642793030127563,0.27252617870310775
1,-0.12288095896585616,rep_mean_S10,0.8771190410341438,0.38132361576029405,0.03742354894878382,0.03369295705747996,,,,,,,,,,,,,,,
1,-0.1201804046852547,rep_median_S10,0.8798195953147453,0.38132361576029405,0.036232104502789346,0.03445196362192755,,,,,,,,,,,,,,,
1,-0.09759474901715859,rep_prediction_S1,0.9024052509828414,0.43912830114575035,0.03506618019926776,,0.03200267531357573,0.014335827193843163,1.3878878327082855,0.977988454970872,0.39877105155505466,0.3385662136423414,-0.43912830114575035,0.014614461704168491,-0.01310888068814953,-0.0363940582097432,0.010080708169173393,0.04544400432243006,-0.03536329615325666,0.004533753534995101,0.3661046782834484
1,-0.07592768307008624,rep_prediction_S2,0.9240723169299138,0.28019656824052985,0.03361791511024782,,0.030224921126473556,0.014719757386401114,1.2293177785070495,0.977988454970872,0.2571835501723391,0.22283873315832622,-0.28019656824052985,0.01443362235217621,-0.01159682853392917,-0.038818209414948936,0.013530814410418243,0.040164901917033397,-0.026634087506615153,0.0009028079417579618,0.3272797117825371
1,-0.08291356808584349,rep_prediction_S5,0.9170864319141565,0.15496249670813253,0.03247319052747801,,0.028841559356976958,0.01492403878260279,1.1674633251240674,0.977988454970872,0.14873889410803176,0.12518062005508637,-0.15496249670813253,-0.01725618672253135,0.006655848351675877,-0.05641633487149765,-0.019110040363540262,0.0012799216494049697,-0.020389962012945226,0.00185385364100891,0.3442132892738313
1,-0.08190365281319123,rep_prediction_S10,0.9180963471868088,0.12724238544498076,0.03117694829996893,,0.027438012276423354,0.01480577947810217,1.1516996876292604,0.977988454970872,0.125426272475421,0.10686362450766615,-0.12724238544498076,-0.023234423606703886,0.005334696599310139,-0.0560499234159393,-0.024357195774842168,-0.006190002556157868,-0.018167193218684298,0.0011227721681382834,0.3060411730642036
2,-0.08793410265077095,rep_mean_S10,0.912065897349229,0.47890115335365024,0.03735079607100596,0.030903876658148005,,,,,,,,,,,,,,,
2,-0.09465583044960346,rep_median_S10,0.9053441695503965,0.47890115335365024,0.03441331772423874,0.030489695045975415,,,,,,,,,,,,,,,
